macro_nightlights_mean_shap,macro_economic_employees_shap,macro_literacy_rate_shap,macro_population_shap,macro_economic_establishments_shap,chronic_diabetes_prevalence_shap,chronic_hypertension_prevalence_shap,state_name,district_name
4.580267,-2.8281667,2.9760418,-19.499441,1.3939592,0.0016658593,5.0968575,UTTARAKHAND,ALMORA
2.7912016,-7.745932,2.2874494,-27.246672,-1.9477067,-0.51358217,4.4709396,UTTARAKHAND,CHAMPAWAT
5.3131,1.5220948,1.0121279,-16.266909,0.1982395,-0.8040028,4.7273774,UTTARAKHAND,NAINITAL
-4.299889,4.7819757,0.26976216,-3.9183102,-2.3960137,-3.9948022,2.375799,UTTARAKHAND,UDHAM SINGH NAGAR
-4.3294134,8.326982,0.77423066,-0.5444827,-1.9642863,-4.4807115,2.137245,UTTARAKHAND,HARDWAR
-2.6383944,-3.3462129,0.24731025,-23.004166,-0.29780298,-5.0890512,-2.9339714,HARYANA,PANCHKULA
-3.756676,3.5815964,-0.032860093,-13.331216,-0.6500824,-5.5191374,-3.810658,HARYANA,AMBALA
-2.1556656,2.9126668,1.9966596,-13.545636,-2.8438158,-5.3843346,-4.8332343,HARYANA,YAMUNANAGAR
-2.8089974,3.0486367,0.77553797,-17.151495,-2.284328,-5.550133,-4.2892427,HARYANA,KURUKSHETRA
-3.850994,2.8586252,-0.61897933,-13.927429,-1.0181879,-5.2013097,-4.268167,HARYANA,KAITHAL
-3.4026914,3.4555004,-0.18791248,-5.210101,-2.9208548,-6.141079,-4.808265,HARYANA,KARNAL
-4.5763197,4.4422483,-0.2323905,-13.073058,-2.8635848,-5.6330214,-4.6673856,HARYANA,PANIPAT
-4.01964,4.663698,2.8156543,-5.1160645,-0.16114517,-6.0024614,-4.9052815,HARYANA,SONIPAT
-4.1962,2.8647408,0.89004135,-8.041732,-0.90476847,-5.2636538,-4.573532,HARYANA,JIND
-2.8265467,1.4200279,-0.62671113,-17.799625,-1.2518,-5.214853,-3.9219851,HARYANA,FATEHABAD
0.44025704,4.3721094,-0.83093286,-12.061788,-0.77245075,-5.2630925,-4.602418,HARYANA,SIRSA
-4.2927685,4.1971083,0.7662165,-3.0968082,-1.0077723,-5.5924454,-5.504016,HARYANA,HISAR
