state_name,district_name,data_completeness_score,data_confidence_tier,macro_population,macro_literacy_rate,macro_economic_establishments,macro_economic_employees,macro_nightlights_mean,chronic_diabetes_prevalence,chronic_hypertension_prevalence,chronic_cancer_incidence_aar,infra_hospitals_count,infra_phc_chc_count,infra_pmbjp_kendra_count,climate_rainfall_annual_mm,climate_rainfall_volatility,climate_rainfall_deviation_pct
KARNATAKA,TUMKUR,92.85714285714286,HIGH,76.71875,67.5,83.59375,82.8125,59.21875,66.09375,95.78125,25.3125,97.421875,98.4375,82.65625,63.59375000000001,47.03125,97.34375
KARNATAKA,BANGALORE,64.28571428571429,LOW,99.6875,93.59375,98.75,99.84375,97.65625,78.984375,96.796875,95.625,70.625,99.375,97.34375,16.5625,83.90625,92.5
KARNATAKA,MANDYA,92.85714285714286,HIGH,58.90625000000001,54.84375,67.03125,65.46875,64.375,49.765625,95.0,41.40625,91.171875,96.25,83.203125,80.15625,72.1875,98.90625
KARNATAKA,HASSAN,92.85714285714286,HIGH,58.12500000000001,71.5625,65.78125,62.18749999999999,55.625,56.71874999999999,93.4375,40.46875,93.75,98.28125,71.953125,80.3125,68.125,96.40625
KARNATAKA,DAKSHINA KANNADA,92.85714285714286,HIGH,65.625,95.9375,93.75,90.9375,53.125,33.671875,95.234375,20.0,87.734375,84.140625,97.8125,98.4375,98.28125,83.59375
KARNATAKA,KODAGU,92.85714285714286,HIGH,15.937499999999998,86.5625,13.28125,12.812499999999998,9.0625,67.890625,97.03125,85.15625,38.59375,38.125,55.00000000000001,91.09375,92.96875,95.15625
KARNATAKA,MYSORE,57.14285714285714,LOW,80.625,60.0,75.46875,79.21875,76.5625,27.500000000000004,87.1875,28.281250000000004,83.28125,88.75,78.28125,60.0,62.03125000000001,99.21875
KARNATAKA,CHAMARAJANAGAR,85.71428571428571,MEDIUM,31.25,26.09375,39.0625,36.40625,27.968749999999996,31.25,94.296875,62.65625,38.59375,68.90625,45.78125,3.90625,2.34375,98.75
KARNATAKA,GULBARGA,57.14285714285714,LOW,74.84375,26.875,60.0,61.25000000000001,43.125,25.703125,48.90625,31.874999999999996,49.6875,69.6875,67.03125,57.03125,62.65625,49.375
KARNATAKA,YADGIR,85.71428571428571,MEDIUM,37.03125,4.21875,33.125,27.968749999999996,35.625,8.046875,32.5,58.75,62.890625,53.82812500000001,55.00000000000001,37.65625,36.25,54.21875000000001
