source,state,district
PMBJP,CHHATTISGARH,SURAJPUR
PMBJP,CHHATTISGARH,BALODABAZAR- BHATAPARA
PMBJP,CHHATTISGARH,BALOD
PMBJP,CHHATTISGARH,MANENDRAGARH CHIRMIRI BHARATPUR MCB
PMBJP,CHHATTISGARH,BALODABAZAR-
PMBJP,CHHATTISGARH,GAURELA PENDRA MARWAHI
PMBJP,CHHATTISGARH,GARIYABAND
PMBJP,DELHI,SOUTH EAST
PMBJP,DELHI,SHAHDARA
PMBJP,GUJARAT,VAV-THARAD
PMBJP,GUJARAT,MAHISAGAR
PMBJP,GUJARAT,BOTAD
PMBJP,GUJARAT,DAHOD
PMBJP,GUJARAT,DEVBHUMI DWARKA
PMBJP,GUJARAT,CHHOTAUDEPUR
PMBJP,GUJARAT,MORBI
PMBJP,GUJARAT,DANGS
PMBJP,GUJARAT,ARVALLI
PMBJP,GUJARAT,GIR SOMNATH
PMBJP,HAVELI AND DAMAN AND DIU,NAGAR HAVELI
PMBJP,HIMACHAL PRADESH,LAHUL AND SPITI
PMBJP,JAMMU KASHMIR,SHOPIAN
PMBJP,JAMMU KASHMIR,POONCH
PMBJP,JAMMU KASHMIR,BUDGAM
PMBJP,JHARKHAND,WEST SINGHBHUM
PMBJP,JHARKHAND,EAST SINGHBUM
PMBJP,KARNATAKA,VIJAYANAGAR
PMBJP,KARNATAKA,VIJAYAPURA
PMBJP,KARNATAKA,BALLARI
PMBJP,KARNATAKA,MYSURU
PMBJP,KARNATAKA,DAKSHINA
PMBJP,KARNATAKA,KALABURAGI
PMBJP,KARNATAKA,BENGALURU RURAL
PMBJP,KARNATAKA,BELAGAVI
PMBJP,KARNATAKA,BENGALURU URBAN
PMBJP,LADAKH,KARGIL
PMBJP,LADAKH,LEH LADAKH
PMBJP,LAKSHADWEEP,LAKSHADWEEP DISTRICT
PMBJP,MADHYA PRADESH,MAUGANJ
PMBJP,MADHYA PRADESH,PANDHURNA
PMBJP,MADHYA PRADESH,KHARGONE
PMBJP,MADHYA PRADESH,KHARGONE (WEST NIMAR)
PMBJP,MADHYA PRADESH,KHANDWA (EAST NIMAR)
PMBJP,MADHYA PRADESH,NIWARI
PMBJP,MADHYA PRADESH,NARMADAPURAM
PMBJP,MADHYA PRADESH,MAIHAR
PMBJP,MADHYA PRADESH,AGAR-MALWA
PMBJP,MAHARASHTRA,CHHATRAPATI SAMBHAJINAGAR
PMBJP,MAHARASHTRA,BEED
PMBJP,MAHARASHTRA,PALGHAR
PMBJP,MAHARASHTRA,DHARASHIV
PMBJP,MANIPUR,KAMJONG
PMBJP,MANIPUR,JIRIBAM
PMBJP,MANIPUR,TENGNOUPAL
PMBJP,MANIPUR,PHERZAWL
PMBJP,MANIPUR,KANGPOKPI
PMBJP,MANIPUR,NONEY
PMBJP,MANIPUR,KAKCHING
PMBJP,MEGHALAYA,SOUTH WEST GARO HILLS
PMBJP,MEGHALAYA,EAST JAINTIA HILLS
PMBJP,MEGHALAYA,SOUTH WEST KHASI HILLS
PMBJP,MEGHALAYA,EASTERN WEST KHASI HILLS
PMBJP,MEGHALAYA,NORTH GARO HILLS
PMBJP,MEGHALAYA,RI BHOI
PMBJP,MEGHALAYA,WEST JAINTIA HILLS
PMBJP,MIZORAM,KHAWZAWL
PMBJP,MIZORAM,HNAHTHIAL
PMBJP,MIZORAM,SIAHA
PMBJP,MIZORAM,SAITUAL
PMBJP,NAGALAND,SHAMATOR
PMBJP,NAGALAND,NIULAND
PMBJP,NAGALAND,CHUMOUKEDIMA
PMBJP,ODISHA,DEOGARH
PMBJP,ODISHA,SONEPUR
PMBJP,PUDUCHERRY,PONDICHERRY
PMBJP,PUNJAB,SRI MUKTSAR SAHIB
PMBJP,PUNJAB,S.A.S NAGAR
PMBJP,PUNJAB,FEROZEPUR
PMBJP,PUNJAB,PATHANKOT
PMBJP,PUNJAB,FAZILKA
PMBJP,PUNJAB,MALERKOTLA
PMBJP,RAJASTHAN,DIDWANA-
PMBJP,RAJASTHAN,KHAIRTHAL-TIJARA
