source,state,district
NFHS-5,MEGHALAYA,WEST JAINTIA HILLS
NFHS-5,MEGHALAYA,SOUTH WEST KHASI HILLS
NFHS-5,NCT DELHI,CENTRAL
NFHS-5,NCT DELHI,EAST
NFHS-5,NCT DELHI,NEW DELHI
NFHS-5,NCT DELHI,NORTH EAST
NFHS-5,NCT DELHI,NORTH WEST
NFHS-5,NCT DELHI,NORTH
NFHS-5,NCT DELHI,SHAHDARA
NFHS-5,NCT DELHI,SOUTH EAST
NFHS-5,NCT DELHI,SOUTH WEST
NFHS-5,NCT DELHI,SOUTH
NFHS-5,NCT DELHI,WEST
NFHS-5,PUNJAB,PATHANKOT
NFHS-5,PUNJAB,FAZILKA
NFHS-5,TELANGANA,ADILABAD
NFHS-5,TELANGANA,BHADRADRI KOTHAGUDEM
NFHS-5,TELANGANA,HYDERABAD
NFHS-5,TELANGANA,JAGITIAL
NFHS-5,TELANGANA,JANGOAN
NFHS-5,TELANGANA,JAYASHANKAR BHUPALAPALLY
NFHS-5,TELANGANA,JOGULAMBA GADWAL
NFHS-5,TELANGANA,KAMAREDDY
NFHS-5,TELANGANA,KARIMNAGAR
NFHS-5,TELANGANA,KHAMMAM
NFHS-5,TELANGANA,KOMARAM BHEEM ASIFABAD
NFHS-5,TELANGANA,MAHABUBABAD
NFHS-5,TELANGANA,MAHABUBNAGAR
NFHS-5,TELANGANA,MANCHERIAL
NFHS-5,TELANGANA,MEDAK
NFHS-5,TELANGANA,MEDCHAL-MALKAJGIRI
NFHS-5,TELANGANA,NAGARKURNOOL
NFHS-5,TELANGANA,NALGONDA
NFHS-5,TELANGANA,NIRMAL
NFHS-5,TELANGANA,NIZAMABAD
NFHS-5,TELANGANA,PEDDAPALLI
NFHS-5,TELANGANA,RAJANNA SIRCILLA
NFHS-5,TELANGANA,RANGA REDDY
NFHS-5,TELANGANA,SANGAREDDY
NFHS-5,TELANGANA,SIDDIPET
NFHS-5,TELANGANA,SURYAPET
NFHS-5,TELANGANA,VIKARABAD
NFHS-5,TELANGANA,WANAPARTHY
NFHS-5,TELANGANA,WARANGAL RURAL
NFHS-5,TELANGANA,WARANGAL URBAN
NFHS-5,TELANGANA,YADADRI BHUVANAGIRI
NFHS-5,TRIPURA,GOMATI
NFHS-5,TRIPURA,UNAKOTI
NFHS-5,TRIPURA,KHOWAI
NFHS-5,TRIPURA,SEPAHIJALA
NFHS-5,UTTAR PRADESH,AMETHI
NFHS-5,UTTAR PRADESH,PRAYAGRAJ
NFHS-5,UTTAR PRADESH,SAMBHAL
NFHS-5,UTTAR PRADESH,SHAMLI
NFHS-5,UTTAR PRADESH,BARABANKI
NFHS-5,UTTAR PRADESH,HAPUR
NFHS-5,UTTARAKHAND,PAURI GARHWAL
NFHS-5,WEST BENGAL,PURBA BARDDHAMAN
NFHS-5,WEST BENGAL,PASCHIM BARDDHAMAN
RHS,CHHATTISGARH,MUNGALI
RHS,CHHATTISGARH,DANTEWADA
RHS,CHHATTISGARH,SUKMA
RHS,CHHATTISGARH,BALODA BAZAR
RHS,CHHATTISGARH,GARYABAND
RHS,CHHATTISGARH,SURAJPUR
RHS,CHHATTISGARH,BALOD
RHS,CHHATTISGARH,JANJGIR-CHAMPA
RHS,CHHATTISGARH,BALRAMPUR
RHS,CHHATTISGARH,BEMETARA
RHS,CHHATTISGARH,GAURELLA PENDRA MARWAHI
RHS,CHHATTISGARH,KANKER
RHS,CHHATTISGARH,KONDAGAON
RHS,CHHATTISGARH,KAWARDHA
RHS,GUJARAT,DANG
RHS,GUJARAT,CHHOTAUDEPUR
RHS,GUJARAT,MAHISAGAR
RHS,GUJARAT,GIR SOMNATH
RHS,GUJARAT,BOTAD
RHS,GUJARAT,MORBI
RHS,GUJARAT,DEVBHUMI DWARKA
RHS,GUJARAT,ARVALLI
RHS,HARYANA,UNA
RHS,HARYANA,CHARKI DADRI
RHS,HARYANA,NUH
RHS,HARYANA,SHIMLA
RHS,HARYANA,KANGRA
RHS,HARYANA,KULLU
RHS,HARYANA,CHAMBA
RHS,HARYANA,HAMIRPUR
RHS,HARYANA,MANDI
RHS,HARYANA,LAHUL AND SPITI
RHS,HARYANA,SIRMAUR
RHS,HARYANA,SOLAN
RHS,HARYANA,GURUGRAM
RHS,HARYANA,KINNAUR
RHS,KARNATAKA,BENGALURU URBAN
RHS,KARNATAKA,VIJAYAPURA
RHS,KARNATAKA,MYSURU
RHS,KARNATAKA,BALLARI
RHS,KARNATAKA,BENGALURU RURAL
RHS,KARNATAKA,BELAGAVI
RHS,KARNATAKA,KALABURAGI
RHS,MADHYA PRADESH,NIWARI
RHS,MADHYA PRADESH,AGAR MALWA
RHS,MADHYA PRADESH,KHARGONE
RHS,MAHARASHTRA,PALGHAR
RHS,MAHARASHTRA,BEED
RHS,MANIPUR,TENGNOUPAL
RHS,MANIPUR,JIRIBAM
RHS,MANIPUR,KANGPOKPI
RHS,MANIPUR,NONEY
RHS,MANIPUR,KAKCHING
RHS,MANIPUR,KAMJONG
RHS,MANIPUR,PHERZAWL
RHS,MEGHALAYA,SOUTH WEST GARO HILLS
RHS,MEGHALAYA,EAST JAINTIA HILLS
RHS,MEGHALAYA,NORTH GARO HILLS
RHS,MEGHALAYA,RI BHOI
RHS,MEGHALAYA,WEST JAINTIA HILLS
RHS,MEGHALAYA,SOUTH WEST KHASI HILLS
RHS,MIZORAM,KHAWZAWL
RHS,MIZORAM,HNAHTHIAL
RHS,MIZORAM,SAITUAL
RHS,NAGALAND,NOKLAK
RHS,ODISHA,DEOGARH
RHS,ODISHA,SONEPUR
RHS,PUNJAB,SRI MUKTSAR SAHIB
RHS,PUNJAB,PATHANKOT
RHS,PUNJAB,S.A.S NAGAR
RHS,PUNJAB,FAZILKA
RHS,PUNJAB,MALERKOTLA
RHS,TAMIL NADU,MAYILADUTHURAI
RHS,TAMIL NADU,RANIPET
RHS,TAMIL NADU,THIRUPATTUR
RHS,TAMIL NADU,TENKASI
RHS,TAMIL NADU,KALLAKURICHI
RHS,TAMIL NADU,CHENGALPATTU
RHS,TELANGANA,ADILABAD
RHS,TELANGANA,BHADRADRI KOTHAGUDEM
RHS,TELANGANA,HANUMAKONDA
RHS,TELANGANA,HYDERABAD
RHS,TELANGANA,JAGITIAL
RHS,TELANGANA,JANGOAN
RHS,TELANGANA,JAYASHANKAR BHUPALAPALLY
RHS,TELANGANA,JOGULAMBA GADWAL
RHS,TELANGANA,KAMAREDDY
RHS,TELANGANA,KARIMNAGAR
RHS,TELANGANA,KHAMMAM
RHS,TELANGANA,MAHABUBABAD
RHS,TELANGANA,MAHABUBNAGAR
RHS,TELANGANA,MANCHERIAL
RHS,TELANGANA,MEDAK
RHS,TELANGANA,MEDCHAL MALKAJGIRI
RHS,TELANGANA,MULUGU
RHS,TELANGANA,NAGARKURNOOL
RHS,TELANGANA,NALGONDA
RHS,TELANGANA,NARAYANPET
RHS,TELANGANA,NIRMAL
RHS,TELANGANA,NIZAMABAD
RHS,TELANGANA,PEDDAPALLI
RHS,TELANGANA,RAJANNA SIRCILLA
RHS,TELANGANA,RANGA REDDY
RHS,TELANGANA,SANGAREDDY
RHS,TELANGANA,SIDDIPET
RHS,TELANGANA,SURYAPET
RHS,TELANGANA,VIKARABAD
RHS,TELANGANA,WANAPARTHY
RHS,TELANGANA,WARANGAL
RHS,TELANGANA,YADADRI BHUVANAGIRI
RHS,TRIPURA,GOMATI
RHS,TRIPURA,UNAKOTI
RHS,TRIPURA,KHOWAI
RHS,TRIPURA,SEPAHIJALA
RHS,UTTARAKHAND,PAURI GARHWAL
RHS,UTTARAKHAND,RUDRA PRAYAG
RHS,UTTARAKHAND,UTTAR KASHI
RHS,UTTAR PRADESH,KASGANJ
RHS,UTTAR PRADESH,AYODHYA
RHS,UTTAR PRADESH,AMETHI
RHS,UTTAR PRADESH,SIDDHARTH NAGAR
RHS,UTTAR PRADESH,PRAYAGRAJ
RHS,UTTAR PRADESH,AMROHA
RHS,UTTAR PRADESH,SAMBHAL
RHS,UTTAR PRADESH,BHADOHI
RHS,UTTAR PRADESH,SHAMLI
RHS,UTTAR PRADESH,BARABANKI
RHS,UTTAR PRADESH,HAPUR
RHS,UTTAR PRADESH,HATHRAS
RHS,WEST BENGAL,SOUTH ANDAMANS
RHS,WEST BENGAL,HOOGHLY
RHS,WEST BENGAL,SOUTH 24 PARGANAS
RHS,WEST BENGAL,HOWRAH
RHS,WEST BENGAL,JHARGRAM
RHS,WEST BENGAL,ALIPURDUAR
RHS,WEST BENGAL,PURBA BARDHHAMAN
RHS,WEST BENGAL,PASCHIM BARDHHAMAN
RHS,WEST BENGAL,KALIMPONG
RHS,WEST BENGAL,NORTH 24 PARGANAS
RHS,WEST BENGAL,COOCHBEHAR
RHS,CHANDIGARH,DAMAN
RHS,CHANDIGARH,DIU
RHS,DELHI,BUDGAM
RHS,DELHI,SRINAGAR
RHS,DELHI,REASI
RHS,DELHI,SAMBA
RHS,DELHI,RAMBAN
RHS,DELHI,POONCH
RHS,DELHI,KULGAM
RHS,DELHI,GANDERBAL
RHS,DELHI,UDHAMPUR
RHS,DELHI,SHAHDARA
RHS,DELHI,SOUTH EAST
RHS,DELHI,DODA
RHS,DELHI,KUPWARA
RHS,DELHI,KISHTWAR
RHS,DELHI,SHOPIAN
RHS,DELHI,RAJOURI
RHS,DELHI,PULWAMA
RHS,DELHI,BANDIPORA
RHS,DELHI,BARAMULLA
RHS,DELHI,JAMMU
RHS,DELHI,KATHUA
RHS,LADAKH,KARGIL
RHS,LADAKH,LEH LADAKH
RHS,LAKSHADWEEP,LAKSHADWEEP DISTRICT
RHS,PUDUCHERRY,PONDICHERRY
